q0021_0001,q0021_0002,q0021_0003,q0021_0004,q0021_0005,q0021_0006,q0021_0007,q0021_0008,q0022_0001,q0022_0002,q0022_0003,q0022_0004,q0022_0005,q0022_0006,q0022_0007,q0022_0008,q0022_0009,q0022_0010,q0022_0011,q0022_0012,q0022_0013,q0023_0001,q0023_0002,q0023_0003,q0023_0004,q0023_0005,q0023_0006,q0023_0007,q0023_0008,q0024_0003,q0024_0004,q0024_0008,q0024_0009,q0024_0010,q0024_0011,q0024_0001,q0024_0002,q0024_0005,q0024_0006,q0024_0007,q0025_0005,q0025_0006,q0025_0017,q0025_0016,q0025_0001,q0025_0002,q0025_0007,q0025_0008,q0025_0009,q0025_0004,q0025_0014,q0025_0015,q0025_0003,q0025_0010,q0025_0011,q0025_0012,q0025_0013,q0027_0001,q0027_0002,q0027_0003,q0027_0005,q0027_0006,q0027_0008,q0027_0009,q0027_0010,q0027_0012,q0027_0014,q0027_0016,q0027_0017,q0027_0018,q0027_0004,q0027_0007,q0027_0011,q0027_0013,q0027_0015
3,3,3,4,3,4,3,3,3,4,3,3,3,3,4,3,4,4,4,4,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
4,4,2,3,3,2,1,3,2,4,2,,3,2,3,,2,5,4,2,,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,3,3,1,2,3,1,2,1,1,2,2,2,2,4,2,2,4,4,5,3,2,1,4,3,2,3,2,2,3,5,5,5,5,5
3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,4,2,2,2,2,2,4,4,4,2,4,2,2,2,4,2,5,4,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,1,2,1,3,1,1,1,1,1,2,1,2,2,1,1,4,4,4,4,2,2,2,3,4,2,3,2,4,4,4,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,4,1,1,1,2,1,1,1,1,1,1,5,1,3,3,1,1,1,1,5,2,1,1,5,5,4,4,5
1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,1,1,3,1,3,3,3,1,3,3,3,3,3,3,5,3,1,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,4,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,3,4,4,4,2,2,2,1,3,4,3,4,2,4,4,4,3,5,5,4,4,4,5,4,4,4,5,3,3,5,5,4
4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,5,3,3,3,2,4,4,4,4,4,4,4,4,,,3,3,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,3,1,2,2,,,2,,,1,,,,,,4,,4,,4,4,4,4,,4,,,,4,4,4,,4
3,3,4,4,4,4,2,5,5,4,3,4,4,3,4,4,3,2,4,2,3,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,2,3,2,1,,,4,2,1,1,2,2,2,2,2,3,3,4,4,3,4,4,2,3,3,2,3,3,3,4,4,4,4,2,4
4,4,2,3,3,3,1,3,5,5,3,5,5,5,5,5,5,3,4,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,4,4,4,4,4,4,4,1,2,3,4,2,3,4,4,3,5,3,5,5,3,5,5,3,3,4,3,3,5,5,5,3,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,4,4,4,4,5,5,5,4,5,5,4,4,4,4,5,4,5,4,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,3,3,1,1,1,2,2,3,3,2,3,4,3,4,4,3,3,4,2,4,3,4,4,4,4,4,2,4
4,4,4,4,5,4,3,4,5,5,4,4,4,4,5,5,3,5,4,4,4,1,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,4,2,1,2,2,1,1,2,1,1,1,2,2,2,2,4,4,3,4,4,5,5,1,3,2,2,2,2,2,2,5,5,5,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,2,3,3,3,4,2,1,3,2,2,2,1,2,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,2,3,4,3,2,3,3,2,4,3,2,3,3,3,3,2,3,3,2,3,2,2,3,2,3,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,3,3,3,3,2,,5,5,4,4,5,4,5,5,1,4,1,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,1,2,4,3,3,1,4,1,3,4,3,4,4,4,4,5,5,1,5,3,1,1,1,3,3,3,1,3,5,5,5,5,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,3,3,3,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,3,4,3,4,4,2,2,2,1,1,2,4,1,4,4,3,3,4,4,4,4,3,4,3,3,3,4,3,3,4,4,4,3,4
3,3,2,1,2,2,1,1,1,2,,4,4,4,1,1,1,4,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,4,2,3,4,4,3,3,3,3,1,3,3,4,3,3,3,3,1,1,1,5,5,1,2,1,5,2,1,2,1,5,5,5,5,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,2,2,2,1,3,1,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,3,3,4,4,3,3,3,3,3,1,5,4,5,4
4,5,4,5,4,5,5,3,3,5,4,4,4,5,3,4,4,5,4,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,2,4,4,1,2,1,3,4,1,1,2,4,1,2,4,2,4,5,3,5,5,5,5,5,5,3,3,5,5,5,5,3,3,3,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,,,,4,3,3,4,,,3,4,,3,4,,4,,5,3,4,4,3,5,5,4,5,5,4,5,5,5,4,5,5,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,3,2,2,3,3,2,1,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,5,4,4,4,3,3,4,2,2,2,4,4,3,5,5,5,5,4,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,3,2,4,4,2,2,2,1,2,1,4,2,2,4,4,4,4,4,4,4,2,4,4,5,3,3,3,3,4,4,5,5,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,1,1,3,1,1,1,1,1,1,1,1,1,1,4,1,3,3,2,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,3,3,4,2,2,2,2,2,2,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,
3,2,4,2,2,2,2,1,3,3,2,4,4,4,4,5,5,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,1,2,4,4,3,3,4,1,4,1,3,4,2,4,3,,,,,,,,,,,,,,,,,,
4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,3,3,3,1,3,3,3,3,3,1,1,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,3,2,4,3,3,3,2,2,1,2,2,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,1,3,3,4,3,3,3,4,4,3,4,,3,3,1,1,1,1,1,1,1,1,2,3,,4,2,1,1,1,3,3
4,4,4,4,4,5,1,,5,5,5,5,5,5,5,5,4,5,3,3,5,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,5,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,,,4,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,1,1,1,1,1,1,1,2,2,5,4,2,4,1,3,3,3,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,3,3,3,3,1,1,1,3,3,3,3,2,1,4,3,4,5,4,4,3,4,4,4,4,2,4,4,3,4,4
2,4,1,1,2,3,1,4,4,5,3,5,5,2,1,2,1,5,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,4,2,1,1,1,1,1,1,3,1,2,1,1,4,5,3,3,3,1,1,1,1,3,1,1,1,5,5,5,5,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,2,1,4,4,4,1,4,1,1,,,,4,,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,1,2,,3,,,3,,2,,,3,3,,,,,,,,,,,,,,,,,,
,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,3,3,2,2,2,1,2,2,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,4,,,,,,3,,,,4,,,,
1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
3,,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,3,2,3,5,3,2,3,5,2,3,3,1,5,3,3,5,5
3,3,3,4,3,4,3,4,4,4,,3,5,4,5,3,3,4,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,3,4,3,4,4,4,3,,3,4,3,,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,5,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,4,1,2,1,1,1,2,4,1,1,2,1,3,4,4,4,5,4,4,4,4,3,3,3,3,4,4,4,4,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,2,4,4,5,4,5,5,4,5,5,4,1,2,4,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,3,3,3,1,4,3,1,3,3,1,1,2,3,1,1,2,2,4,4,3,5,5,1,3,3,1,3,1,2,3,5,4,5,5,5
3,4,5,3,4,4,4,4,3,3,2,3,3,2,3,4,2,4,3,2,2,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,3,2,3,1,1,1,1,3,1,1,2,3,2,1,3,2,2,2,3,1,3,3,3,2,1,3,2,2,2,3,5,3,3,4,4
4,3,3,3,4,5,,5,4,4,3,4,3,3,4,4,4,5,5,4,4,1,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,3,3,3,4,4,4,3,4,3,1,1,1,3,3,3,4,4,3,4,4,5,4,3,3,4,3,3,4,4,4,5,4,4,4,4
2,2,1,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,,,2,2,2
2,4,4,4,3,3,2,2,4,4,2,2,4,3,3,5,2,4,3,2,4,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,3,1,3,3,3,3,3,1,,2,4,1,2,3,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,2,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,3,3,2,3,3,3,3,3,2,1,2,2,2,3,3,2,3,3,3,3,2,3,3,4,2,3,4,3,4,2,4,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,3,3,3,4,2,4,3,4,2,2,2,3,3,3,3,3,3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,1,1,3,4,4,4,4,2,1,1,4,1,1,1,3,4,4,4,4,4,4,4,4,4,4,,,,4,4,4,4,1
3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,4,1,2,2,1,2,3,2,2,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,,,,,,2,2,1,4,2,2,2,4,3,5,4,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,1,1,3,3,1,1,1,1,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,4,4,4,5,2,4,5,5,2,5,5,4,4,5,4,2,4,2,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,3,2,1,2,2,2,2,2,1,2,1,3,1,1,2,3,2,4,1,4,5,2,4,2,4,4,3,2,4,5,4,5,5,2
3,2,1,1,2,1,1,2,2,4,1,4,4,1,1,4,1,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,4,1,4,3,1,4,2,1,1,2,4,3,4,4,2,2,5,3,1,5,1,5,2,3,1,4,4,4,5,5,5,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,,1,,1,2,2,3,1,1,1,1,1,,1,1,4,3,,,,,,,,,,,,,,,,,,
3,3,3,3,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,3,3,1,3,3,1,1,1,1,1,5,1,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,2,2,1,1,3,3,1,2,1,1,1,1,4,1,4,4,4,1,4,1,4,4,1,5,1,3,1,3,4,4,4,3,1,3,1
2,2,2,2,2,2,2,3,4,4,4,4,4,3,3,4,3,4,4,2,2,,,,,,,,,,,,,,,,,,,,2,3,3,2,2,1,2,1,2,1,1,1,2,1,2,4,3,2,3,3,4,5,2,3,4,2,4,4,3,1,4,4,4,4,4
1,1,1,3,4,4,3,4,2,2,3,2,3,3,2,5,4,3,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,,,,,,,,,1,1,0,1,1,0,1,0,0,0,1,3,3,4,4,2,3,3,2,3,2,3,3,4,4,4,2,2,5,4,5,5,4,,1,4,4,4,4,5,5,4,5,5,3,4
3,3,1,3,4,4,1,4,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,4,2,1,1,2,1,2,2,4,2,2,2,2,4,3,3,2,1,1,1,1,4,2,1,1,3,5,4,5,5,5
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,2,1,3,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,2,3,2,2,3,4,4,4,4,4
3,3,3,3,2,2,2,2,2,3,2,4,3,3,2,3,3,3,3,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,4,2,3,3,2,3,2,2,3,3,3,3,4,4,4,4,3
3,1,4,5,4,5,4,4,5,5,5,5,5,4,5,5,4,5,5,4,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,4,3,2,1,2,1,1,2,3,2,2,3,2,5,5,3,3,4,2,2,3,2,4,4,4,3,4,4,4,4,4
,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,,,,,,,,,,,,1,1,2,2,3,2,1,1,1,1,3,2,4,3,3,3,3,,,,,,,,,,,,,,,,,,
4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,1,5,1,1,1,1,3,3,5,5,5,5,3,5,4,4,4,4,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
